City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,gadzhiyevo,69.2551,33.3362,14.01,89,100,7.78,RU,07/07/2024
135,zaozersk,69.4005,32.4476,13.95,90,100,6.86,RU,07/07/2024
136,madimba,-10.4,40.3333,22.11,75,2,4.06,TZ,07/07/2024
137,jamestown,42.097,-79.2353,25.81,61,40,3.09,US,07/07/2024
138,udachny,66.4167,112.4,17.34,78,37,2.72,RU,07/07/2024
139,viedma,-40.8135,-62.9967,7.65,39,79,3.52,AR,07/07/2024
140,mar del plata,-38.0023,-57.5575,7.19,53,40,4.63,AR,07/07/2024
141,san ignacio,17.1561,-89.0714,25.08,94,75,2.06,BZ,07/07/2024
142,luderitz,-26.6481,15.1594,13.6,75,6,3.52,NA,07/07/2024
143,neuquen,-38.9516,-68.0591,9.94,43,0,1.03,AR,07/07/2024
144,tymovskoye,50.8456,142.655,15.54,100,98,0.21,RU,07/07/2024
145,poronaysk,49.2167,143.1167,12.19,98,100,1.2,RU,07/07/2024
146,nuku'alofa,-21.1333,-175.2,20.19,64,75,4.63,TO,07/07/2024
147,mata-utu,-13.2816,-176.1745,27.36,79,33,11.35,WF,07/07/2024
148,altamira,-3.2033,-52.2064,31.35,57,100,1.37,BR,07/07/2024
149,leava,-14.3,-178.1667,26.98,75,83,12.05,WF,07/07/2024
150,atafu village,-8.5421,-172.5159,27.9,78,30,3.86,TK,07/07/2024
151,tazovsky,67.4667,78.7,10.25,77,1,5.12,RU,07/07/2024
152,sitka,57.0531,-135.33,15.94,67,0,5.66,US,07/07/2024
153,ust-nera,64.5667,143.2,7.81,94,97,2.48,RU,07/07/2024
154,thabazimbi,-24.5917,27.4116,13.99,11,0,3.05,ZA,07/07/2024
155,sansanne-mango,10.3592,0.4708,28.79,66,100,3.7,TG,07/07/2024
156,lautoka,-17.6167,177.4667,21.92,68,40,4.12,FJ,07/07/2024
157,san antonio,29.4241,-98.4936,35.33,56,75,4.12,US,07/07/2024
158,hithadhoo,-0.6,73.0833,28.48,75,19,2.89,MV,07/07/2024
159,kolonia town,6.964,158.206,25.0,94,75,0.0,FM,07/07/2024
160,vila franca do campo,37.7167,-25.4333,22.23,75,66,4.97,PT,07/07/2024
161,jinxiang,27.4327,120.6062,25.77,96,18,4.26,CN,07/07/2024
162,basse santa su,13.31,-14.2137,25.56,89,100,4.33,GM,07/07/2024
163,sao joao da barra,-21.6403,-41.0511,26.05,83,97,6.84,BR,07/07/2024
164,sault ste. marie,46.5168,-84.3333,26.16,63,20,5.14,CA,07/07/2024
165,homer,59.6425,-151.5483,14.93,75,100,3.6,US,07/07/2024
166,onega,63.9061,38.1404,18.76,59,100,6.64,RU,07/07/2024
167,kavaratti,10.5669,72.642,28.49,82,100,7.47,IN,07/07/2024
168,vilyuysk,63.7553,121.6247,15.82,64,99,2.21,RU,07/07/2024
169,misratah,32.3754,15.0925,26.06,65,0,6.11,LY,07/07/2024
170,kashima-shi,35.9654,140.6447,24.94,93,100,2.21,JP,07/07/2024
171,nemuro,43.3236,145.575,13.94,100,100,2.76,JP,07/07/2024
172,punta del este,-34.9667,-54.95,9.06,85,75,5.14,UY,07/07/2024
173,enewetak,11.3474,162.3373,28.25,80,28,6.45,MH,07/07/2024
174,mandera,3.9366,41.867,30.92,41,100,8.11,KE,07/07/2024
175,okha,53.5739,142.9478,9.26,99,100,2.91,RU,07/07/2024
176,papatowai,-46.5619,169.4708,8.58,82,94,6.67,NZ,07/07/2024
177,sao vicente,-23.9631,-46.3919,31.26,59,99,2.24,BR,07/07/2024
178,hamilton,39.1834,-84.5333,31.6,49,40,2.06,US,07/07/2024
179,sumbawa besar,-8.5,117.4333,19.36,93,7,2.0,ID,07/07/2024
180,srivardhan,18.0333,73.0167,27.09,86,100,5.55,IN,07/07/2024
181,tangalle,6.024,80.7911,25.09,89,94,3.97,LK,07/07/2024
182,vodnyy,63.5046,53.4095,17.13,59,99,2.95,RU,07/07/2024
183,mhlume,-26.0333,31.85,13.47,11,0,3.61,SZ,07/07/2024
184,paradip garh,20.3167,86.6167,28.76,81,100,2.84,IN,07/07/2024
185,yanta,36.2411,115.6672,23.37,89,100,1.46,CN,07/07/2024
186,kidal,18.4411,1.4078,37.63,22,5,4.34,ML,07/07/2024
187,praia da vitoria,38.7333,-27.0667,25.98,85,18,5.89,PT,07/07/2024
188,novyy urgal,51.0736,132.5642,14.26,92,100,2.68,RU,07/07/2024
189,nuuk,64.1835,-51.7216,8.34,87,100,15.43,GL,07/07/2024
190,ouadda,8.0777,22.4007,21.53,83,100,0.53,CF,07/07/2024
191,happy valley-goose bay,53.3168,-60.3315,28.0,30,95,6.08,CA,07/07/2024
192,huarmey,-10.0681,-78.1522,21.42,75,100,5.89,PE,07/07/2024
193,sinop,41.7711,34.8709,18.63,84,0,2.02,TR,07/07/2024
194,warwick,41.7001,-71.4162,31.28,73,100,3.84,US,07/07/2024
195,parabel',58.6978,81.4825,12.65,75,4,3.25,RU,07/07/2024
196,tolanaro,-25.0319,46.9987,18.22,74,0,2.37,MG,07/07/2024
197,taulaga,-11.0553,-171.0883,27.73,79,7,5.41,AS,07/07/2024
198,thompson,55.7435,-97.8558,24.01,38,100,2.78,CA,07/07/2024
199,ketchikan,55.3422,-131.6461,20.75,52,0,5.14,US,07/07/2024
200,saudarkrokur,65.7461,-19.6394,9.72,56,35,2.14,IS,07/07/2024
201,caleta de carquin,-11.0925,-77.6267,19.93,79,100,5.9,PE,07/07/2024
202,tamandare,-8.7597,-35.1047,25.51,81,24,4.72,BR,07/07/2024
203,barah,13.7,30.3667,31.01,42,100,7.18,SD,07/07/2024
204,kodiak,57.79,-152.4072,10.73,87,100,3.09,US,07/07/2024
205,calatayud,41.3535,-1.6432,26.49,44,15,4.39,ES,07/07/2024
206,mitu,1.1983,-70.1733,30.57,54,100,1.33,CO,07/07/2024
207,castillos,-34.1667,-53.8333,8.7,63,60,3.57,UY,07/07/2024
208,fortuna,40.5982,-124.1573,25.51,65,20,3.6,US,07/07/2024
209,ljusdal,61.8288,16.0913,11.69,91,99,6.09,SE,07/07/2024
210,roma,43.2128,-75.4557,29.42,52,0,3.09,US,07/07/2024
211,san antonio de pale,-1.4014,5.6325,22.68,85,19,4.93,GQ,07/07/2024
212,arraial do cabo,-22.9661,-42.0278,24.92,78,0,2.57,BR,07/07/2024
213,wanju,35.8451,127.1475,25.71,97,100,2.29,KR,07/07/2024
214,sungailiat,-1.85,106.1333,25.83,90,68,2.49,ID,07/07/2024
215,las khorey,11.1595,48.1967,33.4,50,100,2.64,SO,07/07/2024
216,namibe,-15.1961,12.1522,16.72,89,5,2.45,AO,07/07/2024
217,sofifi,0.7349,127.576,26.26,82,100,2.72,ID,07/07/2024
218,longyearbyen,78.2186,15.6401,4.91,87,100,3.6,SJ,07/07/2024
219,la passe,45.5549,-0.8967,21.13,68,100,2.77,FR,07/07/2024
220,isangel,-19.55,169.2667,21.17,67,100,8.55,VU,07/07/2024
221,camacupa,-12.0167,17.4833,16.31,20,6,1.8,AO,07/07/2024
222,east london,-33.0153,27.9116,18.15,30,0,11.27,ZA,07/07/2024
223,tayshet,55.9342,98.0044,16.75,93,100,0.89,RU,07/07/2024
224,tromso,69.6496,18.957,12.01,76,40,6.17,NO,07/07/2024
225,sangsong-ni,39.1694,126.8856,19.34,100,80,2.0,KP,07/07/2024
226,trincomalee,8.5711,81.2335,28.02,74,98,8.7,LK,07/07/2024
227,nova sintra,14.8667,-24.7167,25.69,75,34,2.25,CV,07/07/2024
228,port mathurin,-19.6833,63.4167,23.29,71,100,7.46,MU,07/07/2024
229,dromana,-38.3418,144.9656,9.05,68,65,2.7,AU,07/07/2024
230,safidon,29.4167,76.6667,27.01,74,100,5.57,IN,07/07/2024
231,qarazhal,48.0078,70.7903,18.02,84,100,3.85,KZ,07/07/2024
232,velyka oleksandrivka,47.3197,33.3037,24.06,30,0,4.46,UA,07/07/2024
233,santa terezinha,-29.9002,-50.0904,12.37,92,100,4.19,BR,07/07/2024
234,anse-bertrand,16.4721,-61.5078,30.9,74,6,7.91,GP,07/07/2024
235,kittila,67.6647,24.8936,13.12,94,100,3.09,FI,07/07/2024
236,nogliki,51.8333,143.1667,9.43,100,100,1.15,RU,07/07/2024
237,digapahandi,19.3667,84.5833,28.13,83,67,0.79,IN,07/07/2024
238,kailua-kona,19.6406,-155.9956,26.98,77,20,3.09,US,07/07/2024
239,ceeldheer,3.8488,47.1806,24.69,79,100,8.55,SO,07/07/2024
240,lubango,-14.9172,13.4925,13.84,38,1,2.11,AO,07/07/2024
241,swinoujscie,53.9105,14.2471,18.43,59,61,1.03,PL,07/07/2024
242,sherbrooke,45.4001,-71.8991,26.21,61,37,3.09,CA,07/07/2024
243,severo-yeniseyskiy,60.3725,93.0408,9.43,78,12,1.43,RU,07/07/2024
244,mejit,10.2753,170.8646,27.39,83,100,6.48,MH,07/07/2024
245,yoichi,43.2039,140.7703,19.34,97,100,0.77,JP,07/07/2024
